Product_ID,Periodicity,Price,Data_Volume,Data_Measure,Unlimited_Voice_Onnet,Unlimited_Voice_Offnet,Onnet_Bonus,Measure_Onnet_Bonus,Offnet_Bonus,Measure_Offnet_Bonus,USAGE
128,Daily,33.5,0.67,Go,No,No,0.0,,0.0,Na,DATA
129,Daily,10.05,67,Mo,No,No,0.0,,0.0,,DATA
99,Weekly,335.0,2.01,Go,Yes,No,0.0,,670.0,Da,Hybrid
70,Monthly,1340.0,40.2,Go,No,No,0.0,,0.0,,DATA
104,Daily,67.0,335,Mo,Yes,No,0.0,,100.5,Da,Hybrid
100,Monthly,1340.0,40.2,Go,Yes,No,0.0,,4690.0,Da,Hybrid
72,Daily,33.5,167.5,Mo,No,No,0.0,,0.0,,DATA
74,Daily,20.1,67,Mo,No,No,0.0,,0.0,,DATA
105,Daily,100.5,1.34,Go,Yes,No,0.0,,201.0,Da,Hybrid
127,Daily,16.75,167.5,Mo,No,No,0.0,,0.0,,DATA
126,Monthly,167.5,4.02,Go,No,No,0.0,,0.0,Na,DATA
73,Daily,67.0,0.67,Go,No,No,0.0,,0.0,,DATA
71,Monthly,670.0,10.05,Go,No,No,0.0,,0.0,,DATA
101,Monthly,1005.0,26.8,Go,Yes,No,0.0,,2010.0,Da,Hybrid
102,Monthly,804.0,4.02,Go,Yes,No,0.0,,1005.0,Da,Hybrid
69,Monthly,335.0,4.02,Go,No,No,0.0,,0.0,,DATA
68,Weekly,201.0,2.01,Go,No,No,0.0,,0.0,,DATA
